,Interface,Remote_Interface
0,regiona-acc01[Ethernet1],regiona-ce01[ge-0/0/4]
1,regiona-ce01[ge-0/0/4],regiona-acc01[Ethernet1]
2,regiona-acc01[Ethernet2],regiona-ce01[ge-0/0/5]
3,regiona-ce01[ge-0/0/5],regiona-acc01[Ethernet2]
4,regiona-acc01[Ethernet3],regiona-ce02[ge-0/0/4]
5,regiona-ce02[ge-0/0/4],regiona-acc01[Ethernet3]
6,regiona-acc01[Ethernet4],regiona-ce02[ge-0/0/5]
7,regiona-ce02[ge-0/0/5],regiona-acc01[Ethernet4]
8,regiona-acc01[Ethernet5],regiona-ce01[ge-0/0/6]
9,regiona-ce01[ge-0/0/6],regiona-acc01[Ethernet5]
10,regiona-acc01[Ethernet6],regiona-ce01[ge-0/0/7]
11,regiona-ce01[ge-0/0/7],regiona-acc01[Ethernet6]
12,regiona-acc01[Ethernet7],regiona-ce02[ge-0/0/6]
13,regiona-ce02[ge-0/0/6],regiona-acc01[Ethernet7]
14,regiona-acc01[Ethernet8],regiona-ce02[ge-0/0/7]
15,regiona-ce02[ge-0/0/7],regiona-acc01[Ethernet8]
16,regiona-acc01[Ethernet9],regiona-svr01[Ethernet1]
17,regiona-svr01[Ethernet1],regiona-acc01[Ethernet9]
18,regiona-acc01[Ethernet10],regiona-svr01[Ethernet2]
19,regiona-svr01[Ethernet2],regiona-acc01[Ethernet10]
20,regiona-acc01[Ethernet11],regiona-svr02[Ethernet1]
21,regiona-svr02[Ethernet1],regiona-acc01[Ethernet11]
22,regiona-acc01[Ethernet12],regiona-svr02[Ethernet2]
23,regiona-svr02[Ethernet2],regiona-acc01[Ethernet12]
24,regiona-ce02[ge-0/0/0],regiona-pe01[GigabitEthernet0/0/0/3]
25,regiona-pe01[GigabitEthernet0/0/0/3],regiona-ce02[ge-0/0/0]
26,regiona-ce02[ge-0/0/1],regiona-pe02[GigabitEthernet0/0/0/3]
27,regiona-pe02[GigabitEthernet0/0/0/3],regiona-ce02[ge-0/0/1]
28,regiona-ce02[ge-0/0/2],regiona-ce01[ge-0/0/2]
29,regiona-ce01[ge-0/0/2],regiona-ce02[ge-0/0/2]
30,regiona-ce02[ge-0/0/3],regiona-ce01[ge-0/0/3]
31,regiona-ce01[ge-0/0/3],regiona-ce02[ge-0/0/3]
32,regiona-pe02[GigabitEthernet0/0/0/0],regionb-pe02[ge-0/0/0]
33,regionb-pe02[ge-0/0/0],regiona-pe02[GigabitEthernet0/0/0/0]
34,regiona-pe02[GigabitEthernet0/0/0/1],regiona-pe01[GigabitEthernet0/0/0/1]
35,regiona-pe01[GigabitEthernet0/0/0/1],regiona-pe02[GigabitEthernet0/0/0/1]
36,regiona-pe02[GigabitEthernet0/0/0/2],regiona-ce01[ge-0/0/1]
37,regiona-ce01[ge-0/0/1],regiona-pe02[GigabitEthernet0/0/0/2]
38,regionb-pe02[ge-0/0/1],regionb-pe01[ge-0/0/1]
39,regionb-pe01[ge-0/0/1],regionb-pe02[ge-0/0/1]
40,regionb-pe02[ge-0/0/2],regionb-ce01[ge-0/0/1]
41,regionb-ce01[ge-0/0/1],regionb-pe02[ge-0/0/2]
42,regionb-pe02[ge-0/0/3],regionb-ce02[ge-0/0/1]
43,regionb-ce02[ge-0/0/1],regionb-pe02[ge-0/0/3]
44,regionb-ce02[ge-0/0/0],regionb-pe01[ge-0/0/3]
45,regionb-pe01[ge-0/0/3],regionb-ce02[ge-0/0/0]
46,regionb-ce02[ge-0/0/2],regionb-ce01[ge-0/0/2]
47,regionb-ce01[ge-0/0/2],regionb-ce02[ge-0/0/2]
48,regionb-ce02[ge-0/0/3],regionb-ce01[ge-0/0/3]
49,regionb-ce01[ge-0/0/3],regionb-ce02[ge-0/0/3]
50,regionb-ce02[ge-0/0/4],regionb-acc01[Ethernet3]
51,regionb-acc01[Ethernet3],regionb-ce02[ge-0/0/4]
52,regionb-ce02[ge-0/0/5],regionb-acc01[Ethernet4]
53,regionb-acc01[Ethernet4],regionb-ce02[ge-0/0/5]
54,regionb-ce02[ge-0/0/6],regionb-acc02[Ethernet3]
55,regionb-acc02[Ethernet3],regionb-ce02[ge-0/0/6]
56,regionb-ce02[ge-0/0/7],regionb-acc02[Ethernet4]
57,regionb-acc02[Ethernet4],regionb-ce02[ge-0/0/7]
58,regionb-acc02[Ethernet1],regionb-ce01[ge-0/0/6]
59,regionb-ce01[ge-0/0/6],regionb-acc02[Ethernet1]
60,regionb-acc02[Ethernet2],regionb-ce01[ge-0/0/7]
61,regionb-ce01[ge-0/0/7],regionb-acc02[Ethernet2]
